id,TLE_LINE1,TLE_LINE2
OPS 9444 (DSCS 2-14),1 11622U 79098B   26085.86706409 -.00000230  00000-0  00000-0 0  9992,2 11622   8.6681 306.2416 0003735  64.3127 295.9701  0.98352912111168
TITAN 3C TRANSTAGE R/B,1 11623U 79098C   26085.83525728 -.00000219  00000-0  00000-0 0  9990,2 11623  10.3684 306.2753 0295956  75.1077 110.2671  0.95319346121806
OPS 4682 DEB,1 11631U 65027F   26085.21984504 -.00000369  00000-0 -13047-2 0  9993,2 11631  90.2438   4.1572 0040537 295.8154 219.0508 12.96734369115026
SATCOM 3,1 11635U 79101A   26085.45320110 -.00000197  00000-0  00000-0 0  9999,2 11635   8.6791  90.2785 4796876  91.5541  10.0480  1.82524208222463
DELTA 1 R/B(1),1 11636U 79101B   26085.18404638  .00000168  00000-0  42999-4 0  9992,2 11636  28.2245  29.0225 1261847 263.6518  81.9163 12.21206289987018
GORIZONT 3,1 11648U 79105A   26085.75728427 -.00000110  00000-0  00000-0 0  9998,2 11648   6.1300 288.5872 0010537 269.3626 335.5526  1.00195655121658
COSMOS 1150,1 11667U 80003A   26085.94473439  .00000073  00000-0  61801-4 0  9996,2 11667  82.9530 239.3015 0032817 151.1208 322.9920 13.73672786311071
SL-8 R/B,1 11668U 80003B   26085.78289372  .00000077  00000-0  63360-4 0  9996,2 11668  82.9528 191.0323 0021321 356.7401 168.3719 13.75941478313092
OPS 6393 (FLTSATCOM 3),1 11669U 80004A   26085.53569829 -.00000300  00000-0  00000-0 0  9997,2 11669   6.3408 307.0322 0020878 245.5680 121.2103  1.00185979169037
SL-14 R/B,1 11672U 80005B   26085.97585397  .00000561  00000-0  54142-4 0  9996,2 11672  82.5114 290.8355 0017210 104.4824 255.8306 14.90949255479069
SL-12 R/B(2),1 11676U 75097F   26085.73451484  .00000097  00000-0  00000-0 0  9992,2 11676   2.5705 263.0557 0021124 222.8394 183.3659  1.00102564118318
COSMOS 1153,1 11680U 80007A   26085.93399163  .00000071  00000-0  59340-4 0  9998,2 11680  82.9313 231.3211 0036664 203.5111 273.4134 13.73860807311210
SL-8 R/B,1 11681U 80007B   26085.53867352  .00000089  00000-0  75521-4 0  9993,2 11681  82.9350 194.7919 0036963  46.7474 324.7974 13.75733763312888
SL-12 R/B(2),1 11684U 79105E   26085.83603728 -.00000150  00000-0  00000-0 0  9997,2 11684   7.0537 292.8450 0017571 311.5708 254.4646  0.98687078120210
OPS 5117 (NAVSTAR 5),1 11690U 80011A   26085.34879399 -.00000007  00000-0  00000-0 0  9998,2 11690  64.7309  51.1305 0487010 205.1241 345.3397  2.00578252352069
COSMOS 1156,1 11691U 80012A   26085.59021630 -.00000015  00000-0  69459-5 0  9991,2 11691  74.0200 141.6478 0048225  38.3384 115.4667 12.56897901116000
COSMOS 1157,1 11692U 80012B   26085.88831174  .00000007  00000-0  14157-3 0  9999,2 11692  74.0192 239.5727 0039389 163.9457 310.0904 12.54567810112129
COSMOS 1158,1 11693U 80012C   26085.67416359 -.00000013  00000-0  23011-4 0  9999,2 11693  74.0240 333.1389 0028032 273.3568 101.0095 12.52379858108395
COSMOS 1159,1 11694U 80012D   26085.99922374 -.00000002  00000-0  92146-4 0  9997,2 11694  74.0195  65.5746 0017509  36.1329  20.9106 12.50126135104704
COSMOS 1160,1 11695U 80012E   26085.35729653 -.00000016  00000-0  85372-6 0  9993,2 11695  74.0222 164.7671 0011583 197.3072 230.9550 12.47774699100652
COSMOS 1161,1 11696U 80012F   26085.91404631  .00000007  00000-0  15634-3 0  9992,2 11696  74.0178 271.5412 0021997 351.4019   8.6649 12.45171371 96375
COSMOS 1162,1 11697U 80012G   26085.91330194 -.00000013  00000-0  14849-4 0  9991,2 11697  74.0252  12.1838 0029482 134.3758 291.3672 12.42741315 92275
COSMOS 1163,1 11698U 80012H   26085.56946789 -.00000013  00000-0  20211-4 0  9996,2 11698  74.0190 127.9341 0046388 263.6975 264.5885 12.39948667 87156
SL-8 R/B,1 11699U 80012J   26085.53909951  .00000058  00000-0  65746-3 0  9993,2 11699  74.0109 106.3291 0141559   2.2619 166.7116 12.22636006 58320
ATLAS 35F R/B,1 11705U 80011B   26085.90640441  .00000028  00000-0  00000-0 0  9993,2 11705  64.3938 211.9783 4778360 256.8909  47.4343  4.97662781835195
RADUGA 6,1 11708U 80016A   26085.67779560 -.00000043  00000-0  00000-0 0  9998,2 11708   5.9190 287.4181 0002451 343.7440 226.5104  1.00200432121333
AYAME 2 (ECS-2),1 11715U 80018A   26085.76900280 -.00000132  00000-0  00000-0 0  9992,2 11715   9.4896  42.8706 4376866 284.5650 307.7686  1.75494157233581
OPS 7245,1 11720U 80019  A 80156.44170566  .00000027 +00000-0 +02391-4 0  9990,2 11720 063.4783 147.0798 0072826 154.3421 206.1245 13.39685345012465
ATLAS 67F R/B,1 11721U 80019  B 80065.38131207 -.00000244 +00000-0 +08914-4 0  9991,2 11721 063.4835 018.0561 0061630 300.2111 059.2860 13.40681267000264
SL-12 R/B(2),1 11728U 80016D   26085.63276535 -.00000048  00000-0  00000-0 0  9995,2 11728   7.5020 294.5808 0015723 307.0123 237.6637  0.97623342118768
COSMOS 1168,1 11735U 80022A   26085.65517151  .00000057  00000-0  43587-4 0  9994,2 11735  82.9494 335.5740 0034333 229.7211 164.2582 13.75244897308810
SL-8 R/B,1 11736U 80022B   26085.96147283 -.00000011  00000-0 -26500-4 0  9992,2 11736  82.9395 298.0898 0034244 129.5832 230.8358 13.76806590311433
COSMOS 1171,1 11750U 80026A   26085.94936245 -.00000061  00000-0  21112-4 0  9992,2 11750  65.8426 314.7147 0027743 313.5277 143.0104 13.73771704306210
SL-8 R/B,1 11751U 80026B   26085.56716812 -.00000029  00000-0  52315-4 0  9990,2 11751  65.8388 117.2521 0013906 321.4983 203.5518 13.77344461310865
SL-8 DEB,1 11752U 80026C   26085.70597266 -.00000016  00000-0  66875-4 0  9999,2 11752  65.8405 252.6388 0029631 302.6774  68.2132 13.75336324307740
COSMOS 1174,1 11765U 80030A   26085.97442405  .00003104  00000-0  14405-3 0  9992,2 11765  66.0788  96.7124 0473957 158.5021 203.6750 14.57434332366940
COSMOS 1174 DEB,1 11778U 80030K   26085.40490237  .00001008  00000-0  40339-3 0  9996,2 11778  66.4743 200.1411 0432031   9.0920 351.7663 13.91578918272394
OPS 5118 (NAVSTAR 6),1 11783U 80032A   26085.94244714  .00000039  00000-0  00000-0 0  9991,2 11783  61.8757 251.2291 0551333  51.9447 342.5099  2.03456102340088
COSMOS 1176,1 11788U 80034A   26085.79767181 -.00000051  00000-0  31155-4 0  9993,2 11788  64.8278 230.8905 0059988 295.4716  64.0149 13.93140811330340
DELTA 1 R/B(2) *,1 11792U 66096C   26085.52076452  .00002927  00000-0  35075-2 0  9991,2 11792  17.7069 118.7919 6056527 162.7181 233.6022  3.84362948428206
COSMOS 1181,1 11803U 80039A   26085.94910574  .00000073  00000-0  60650-4 0  9994,2 11803  82.9380 276.6225 0023576 108.1530   4.1558 13.74198398298663
SL-8 R/B,1 11804U 80039B   26085.93275519  .00000035  00000-0  20740-4 0  9991,2 11804  82.9416 231.9504 0019451 279.1132  80.7824 13.76576148301949
GORIZONT 4,1 11841U 80049A   26085.94537258 -.00000061  00000-0  00000-0 0  9998,2 11841   7.3805 295.9759 0004432  10.2373 315.6271  0.98628378232705
SL-6 R/B(2),1 11847U 80050B   26083.31961177 -.00000191  00000-0  00000-0 0  9990,2 11847  68.4339   9.4960 6536957 315.5970   7.7297  1.99527456332878
OPS 1292,1 11852U 80052C   26085.91771495  .00000031  00000-0  20572-3 0  9999,2 11852  96.6191  47.1044 0003798  84.4117 275.7422 12.83714576 87427
SL-12 R/B(2),1 11862U 80049F   26085.89991088 -.00000190  00000-0  00000-0 0  9993,2 11862   7.8464 296.7957 0027116 214.7385 332.7538  0.97940994119408
COSMOS 1190,1 11869U 80056A   26085.43406169  .00000144  00000-0  60227-4 0  9998,2 11869  74.0472 187.5315 0012744  46.7310 313.4903 14.34629916368421
SL-8 R/B,1 11870U 80056B   26085.43868402  .00000226  00000-0  82526-4 0  9999,2 11870  74.0509  79.2810 0016985 310.8147  49.1533 14.38394964371304
COSMOS 1191,1 11871U 80057A   26084.55702016  .00000591  00000-0  00000-0 0  9999,2 11871  65.9034  79.8939 6648102  20.4239 356.8256  2.00996234241781
COSMOS 1192,1 11875U 80058A   26085.59350222 -.00000009  00000-0  46063-4 0  9995,2 11875  74.0159 127.3390 0050492 246.6320 281.7870 12.57208916 97929
COSMOS 1193,1 11876U 80058B   26085.84335609  .00000001  00000-0  10502-3 0  9995,2 11876  74.0177 221.3762 0039016   2.7642 164.1730 12.54951809 94171
COSMOS 1194,1 11877U 80058C   26085.34271872 -.00000007  00000-0  53259-4 0  9996,2 11877  74.0184 311.7935 0026599 105.5284 254.8708 12.52800009 90577
COSMOS 1195,1 11878U 80058D   26085.98210275 -.00000006  00000-0  66653-4 0  9998,2 11878  74.0195  41.4467 0016690 218.4423 212.7715 12.50615252 87082
COSMOS 1196,1 11879U 80058E   26085.55363610 -.00000016  00000-0 -20480-5 0  9995,2 11879  74.0166 133.6142 0005025 340.5914  90.3201 12.48409032562102
COSMOS 1197,1 11880U 80058F   26085.42668784  .00000003  00000-0  13123-3 0  9991,2 11880  74.0165 232.2965 0013442 187.8288 172.2553 12.46010500 79222
COSMOS 1198,1 11881U 80058G   26085.97982826 -.00000008  00000-0  56651-4 0  9998,2 11881  74.0195 322.6565 0022301 319.5874 149.5468 12.43792243 75614
COSMOS 1199,1 11882U 80058H   26085.97644294  .00000002  00000-0  12902-3 0  9996,2 11882  74.0162  68.7375 0035687  75.8893 338.8807 12.41205219 71234
SL-8 R/B,1 11883U 80058J   26085.97712602  .00000032  00000-0  41256-3 0  9993,2 11883  74.0125  37.1035 0133507 166.3243 260.6914 12.24007477 42542
SL-6 R/B(2),1 11888U 80057D   26085.33811870  .00000396  00000-0  00000-0 0  9996,2 11888  62.8215 320.1872 7307190  33.4882 356.3147  1.99471265333091
EKRAN 5,1 11890U 80060A   94073.86217760 -.00000273 +00000-0 +10000-3 0  9990,2 11890 011.3266 045.7592 0017224 051.2216 120.4220 01.00239918022968
MOLNIYA 3-13,1 11896U 80063A   26084.64516401  .00000041  00000-0 -13469-2 0  9990,2 11896  63.8218 301.4874 7230083 277.4399  12.8027  2.00674819334722
SL-6 R/B(2),1 11909U 80063D   26084.78837390 -.00000584  00000-0  00000+0 0  9999,2 11909  63.6615  31.5152 7321248 277.5531  12.2814  1.96865112327989
SL-12 R/B(2),1 11926U 78118C   26085.18940815 -.00000292  00000-0  00000-0 0  9995,2 11926  12.4930 150.3625 3000589   6.5632   3.8359  1.01605193170731
TITAN 3C TRANSTAGE R/B,1 11940U 73040B   26085.06871773  .00000051  00000-0  00000+0 0  9994,2 11940   1.2304 237.1787 0031231  86.1924 273.3962  0.99561539 25806
SL-12 R/B(2),1 11941U 78073F   26085.86394407 -.00000192  00000-0  00000-0 0  9996,2 11941   6.6463 288.1310 0013759 170.6112 191.0893  0.97572185162508
METEOR 2-6,1 11962U 80073A   26085.53444632  .00000093  00000-0  44492-4 0  9998,2 11962  81.2253 170.6495 0036049  15.4146 344.8115 14.11134480343077
SL-3 R/B,1 11963U 80073B   26085.95655603 -.00000033  00000-0 -25345-4 0  9999,2 11963  81.2728 257.4192 0074234   4.2275 355.9506 14.10159603341821
GOES 4,1 11964U 80074A   26085.73503484  .00000056  00000-0  00000-0 0  9996,2 11964   8.1642 303.5763 0032629 104.1363 264.7951  0.99229309126625
GOES 4 AKM,1 11970U 80074C   26085.60426931 -.00000218  00000-0  00000-0 0  9991,2 11970  16.5630 314.9213 1635550 263.8704  69.2991  0.81535609 37844
COSMOS 1176 FUEL CORE,1 11971U 80034D   26085.94427231 -.00000063  00000-0  21377-4 0  9991,2 11971  64.8329 300.4657 0049929 244.7550 217.4322 13.96929985334123
TRANSIT 11 DEB,1 11991U 66005H   26085.47720586  .00000646  00000-0  50445-3 0  9995,2 11991  90.1655 341.0658 0172524 234.9317 300.1357 13.84769795  9957
DELTA 1 DEB,1 12000U 73086GL  26085.47570785  .00000001  00000-0  36902-3 0  9995,2 12000 102.3745  81.9206 0021680 139.6776  14.1761 12.36406142537733
RADUGA 7,1 12003U 80081A   26085.46723134 -.00000301  00000-0  00000-0 0  9999,2 12003   6.1498 289.9567 0011371 321.2031  52.1744  1.00335215122487
COSMOS 1217,1 12032U 80085A   26085.58160308  .00000172  00000-0  00000-0 0  9991,2 12032  70.0917 181.9636 5692378 242.5270  49.3712  2.00912379280559
OPS 6394 (FLTSATCOM 4),1 12046U 80087A   26085.59468224 -.00000033  00000-0  00000-0 0  9994,2 12046   8.1647 305.0434 0003069  64.6447 295.2831  0.98948211129351
SBS 1,1 12065U 80091A   26085.90060421 -.00000244  00000-0  00000-0 0  9996,2 12065  10.1359 318.3275 0004423 180.7390 348.6851  0.99829368 45654
COSMOS 1223,1 12078U 80095A   26085.18794368 -.00000001  00000-0  00000+0 0  9998,2 12078  73.2304  48.7547 4699946 305.3114 287.3595  2.00755243331967
SL-6 R/B(2),1 12086U 80095E   26082.49373310 -.00000771  00000-0  00000-0 0  9993,2 12086  64.9321 147.1563 6777746  33.7276 355.1692  1.99094159329421
COSMOS 1225,1 12087U 80097A   26085.54668493  .00000056  00000-0  42693-4 0  9997,2 12087  82.9502 176.5762 0054650 284.8377  85.9996 13.74747676272086
SL-8 R/B,1 12088U 80097B   26085.57521326  .00000000  00000-0 -15853-4 0  9992,2 12088  82.9396 120.1673 0050314  96.3609 264.3282 13.77329790276026
INTELSAT 502,1 12089U 80098A   26085.44109744 -.00000115  00000-0  00000-0 0  9997,2 12089  11.4071 327.4954 0012542 328.9375 240.7783  0.98892398132903
COSMOS 1226,1 12091U 80099A   26085.93057171  .00000068  00000-0  55733-4 0  9994,2 12091  82.9383  64.8310 0032235 293.0155 123.4283 13.74715668271450
SL-8 R/B,1 12092U 80099B   26085.91155060  .00000067  00000-0  51250-4 0  9998,2 12092  82.9446  21.1302 0030887 131.0340 296.9957 13.77361896275086
OPS 5805,1 12093U 80100A   26081.18761860 -.00000228  00000-0  00000-0 0  9991,2 12093  63.9360 210.0134 6449394 268.7223  22.1743  2.00537506 50411
OPS 4988 DEB,1 12099U 65016K   26085.98418155  .00000259  00000-0  19457-3 0  9996,2 12099  70.0756  53.7967 0017362   6.5261  51.8438 14.04858623115483
OPS 4682 DEB,1 12102U 65027G   26078.59292254  .00000261  00000-0  85631-3 0  9992,2 12102  90.2517  12.4883 0023298 217.2076 320.3250 12.98713728879105
COSMOS 1228,1 12107U 80102A   26085.95331941 -.00000008  00000-0  45015-4 0  9996,2 12107  73.9982  39.6260 0044636 105.4015 312.6745 12.58648615 79275
COSMOS 1229,1 12108U 80102B   26085.61777958 -.00000023  00000-0 -42036-4 0  9990,2 12108  73.9932 143.1988 0032556 236.7551 291.2726 12.56121937 75043
COSMOS 1230,1 12109U 80102C   26085.98267154 -.00000003  00000-0  78043-4 0  9997,2 12109  73.9922  68.0102 0041108 150.3237 266.8613 12.57924044 78105
COSMOS 1231,1 12110U 80102D   26085.41336958 -.00000007  00000-0  54548-4 0  9994,2 12110  73.9904 101.3833 0037394 185.1379 241.7409 12.57136417 76724
COSMOS 1232,1 12111U 80102E   26085.49330043 -.00000020  00000-0 -22761-4 0  9990,2 12111  73.9924 134.7636 0033523 219.8400 205.5448 12.56330499 75419
COSMOS 1233,1 12112U 80102F   26085.66196010 -.00000016  00000-0  16115-5 0  9995,2 12112  73.9950 165.4023 0030036 248.8986 279.2817 12.55583586 74173
COSMOS 1234,1 12113U 80102G   26085.42822219 -.00000015  00000-0  10543-4 0  9994,2 12113  73.9911 119.1050 0035425 200.6516 263.4478 12.56711862 75922
COSMOS 1235,1 12114U 80102H   26085.57698964 -.00000020  00000-0 -19151-4 0  9990,2 12114  73.9927 138.6219 0033073 225.6249 288.5931 12.56233162 75216
SL-8 R/B,1 12115U 80102J   26085.92700740 -.00000047  00000-0 -19961-3 0  9993,2 12115  73.9871 286.3301 0019438  71.3811  35.2302 12.52320212 68971
EKRAN 6,1 12120U 80104A   26085.76711633  .00000073  00000-0  00000-0 0  9994,2 12120   6.4423 291.3938 0007244  67.0520 155.1328  1.00253978126581
COSMOS 1238,1 12138U 81003A   26085.91919335  .00003086  00000-0  20841-3 0  9993,2 12138  82.9548 283.5076 0638968 322.8326  33.0172 14.12539987258291
SL-8 R/B,1 12139U 81003B   26085.95062287  .00024588  00000-0  61728-3 0  9992,2 12139  82.9342 274.0533 0261043 118.5601 244.2174 15.11718108317286
COSMOS 1241,1 12149U 81006A   26085.96720196 -.00000065  00000-0  16840-4 0  9998,2 12149  65.8256 333.9145 0015788 209.6511 241.2037 13.72230890263524
SL-8 R/B,1 12150U 81006B   26085.96863588  .00000023  00000-0  10391-3 0  9990,2 12150  65.8217  41.1618 0042584  67.3918 293.1642 13.77473314270217
SL-8 DEB,1 12151U 81006C   26085.70773699 -.00000017  00000-0  67385-4 0  9996,2 12151  65.8216 249.4375 0012503 191.7819 180.1884 13.74081894265492
DELTA 1 DEB,1 12164U 78026D   26085.98007943  .00001335  00000-0  41390-3 0  9990,2 12164  98.6160 120.9400 0058038 345.7674  88.3184 14.41849372495263
DELTA 1 DEB,1 12165U 78026E   26085.59844935  .00000040  00000-0  46836-4 0  9991,2 12165  99.0002 119.8137 0044446  85.8115  79.1191 14.11051870108181
DELTA 1 DEB,1 12166U 78026F   26085.99730765  .00000399  00000-0  21161-3 0  9991,2 12166  98.8988 121.2757 0038224  86.9180 336.3004 14.18888499328174
DELTA 1 DEB,1 12167U 78026G   26085.41827383  .00000718  00000-0  34089-3 0  9990,2 12167  98.7507  33.5239 0159710  61.9573  48.7892 14.15978327320172
DELTA 1 DEB,1 12168U 78026H   26085.47288459  .00000201  00000-0  16113-3 0  9997,2 12168  98.7169 264.7428 0173673  35.6118 325.6488 13.94007772289234
DELTA 1 DEB,1 12169U 78026J   26085.53609482  .00000528  00000-0  20115-3 0  9997,2 12169  98.7122 110.5225 0067119 326.7782 186.4570 14.33805290348455
DELTA 1 DEB,1 12170U 78026K   26085.98508571  .00000380  00000-0  19288-3 0  9990,2 12170  98.8681 120.8975 0041796 270.5953 154.8559 14.21438234331278
DELTA 1 DEB,1 12171U 78026L   26085.99723284  .00000167  00000-0  13428-3 0  9995,2 12171  99.2414 102.9278 0036589 343.7064  78.0216 14.04060979310918
DELTA 1 DEB,1 12172U 78026M   26085.54709520  .00000318  00000-0  14931-3 0  9992,2 12172  98.7871 116.5491 0059487 131.5703  22.1695 14.25880553340198
DELTA 1 DEB,1 12174U 78026P   26085.99319275  .00000060  00000-0  59114-4 0  9994,2 12174  99.0353 120.3682 0041559 206.0861 214.8280 14.10364622320150
DELTA 1 DEB,1 12175U 78026Q   26085.55639071  .00000079  00000-0  87233-4 0  9999,2 12175  99.2234 339.9810 0061942 275.1215 203.7134 13.97357728295722
DELTA 1 DEB,1 12176U 78026R   26085.64286215  .00000049  00000-0  73643-4 0  9995,2 12176  98.9427 334.3749 0065130 159.2639 220.0753 13.89011009286817
DELTA 1 DEB,1 12177U 78026S   26085.27559145  .00000320  00000-0  24464-3 0  9998,2 12177  98.9370 193.6286 0152731  29.9617 356.9855 13.94951572288313
DELTA 1 DEB,1 12178U 78026T   26085.16115641  .00000236  00000-0  20699-3 0  9998,2 12178  99.3898 317.8266 0062048  28.1594 124.2578 13.94756189293511
DELTA 1 DEB,1 12179U 78026U   26085.41644255  .00000901  00000-0  49024-3 0  9997,2 12179  99.1683  27.5826 0163993   8.0067 102.6335 14.08240762302278
DELTA 1 DEB,1 12181U 78026W   26085.93575435  .00000197  00000-0  94932-4 0  9996,2 12181  98.8502  95.6901 0098652 156.5260 204.0468 14.26685910344908
DELTA 1 DEB,1 12183U 78026Y   26085.56676703  .00000314  00000-0  18212-3 0  9994,2 12183  98.9574 119.6453 0036780  40.6219 111.5347 14.15619899324569
DELTA 1 DEB,1 12185U 78026AA  26085.92649015  .00000690  00000-0  35181-3 0  9993,2 12185  99.2494  73.9301 0089533 168.4656 247.1216 14.17130411317684
DELTA 1 DEB,1 12189U 78026AE  26085.93722499  .00000175  00000-0  16038-3 0  9994,2 12189  98.7480  80.5609 0066731 216.6962 209.9542 13.93955725623294
DELTA 1 DEB,1 12190U 78026AF  26085.36074104 -.00000018  00000-0  17101-4 0  9996,2 12190  99.0810  41.6313 0019113 103.0235  48.5349 14.02453328305170
DELTA 1 DEB,1 12193U 78026AJ  26085.06410182  .00001987  00000-0  13767-2 0  9993,2 12193  98.8534 282.7893 0237181  62.6390 299.8691 13.87381944239558
DELTA 1 DEB,1 12195U 78026AL  26085.30170852  .00000267  00000-0  23102-3 0  9994,2 12195  98.9378  34.1088 0059517 268.1471 250.2335 13.93998599291821
DELTA 1 DEB,1 12198U 78026AP  26085.71569885  .00000455  00000-0  30186-3 0  9999,2 12198  99.1525   1.9966 0116750 138.1426 222.8740 14.03251173299608
DELTA 1 DEB,1 12200U 78026AR  26085.91650898  .00000354  00000-0  14006-3 0  9991,2 12200  98.7396  67.9384 0110934  40.4994  13.3858 14.31686396352289
DELTA 1 DEB,1 12203U 78026AU  26085.95534920  .00001007  00000-0  32814-3 0  9998,2 12203  98.6377 110.9568 0061727  76.1670 349.3821 14.39799253352327
DELTA 1 DEB,1 12204U 78026AV  26085.97254710  .00000491  00000-0  19706-3 0  9998,2 12204  98.7531 109.5990 0079850 100.0379 260.9825 14.30882454345896
DELTA 1 DEB,1 12206U 78026AX  26085.29995487  .00001274  00000-0  74977-3 0  9999,2 12206  98.9865 200.7933 0156590 320.2640  38.7139 14.03881469289357
DELTA 1 DEB,1 12209U 78026BA  26085.99546750  .00000988  00000-0  32813-3 0  9998,2 12209  98.6222 117.6523 0054795 278.0989 146.5073 14.39169579336375
DELTA 1 DEB,1 12211U 78026BC  26085.16626640  .00000572  00000-0  33596-3 0  9995,2 12211  99.1721 356.0767 0116000 311.7374  47.3921 14.09012249307947
DELTA 1 DEB,1 12212U 78026BD  26085.99127720 -.00000115  00000-0 -51767-4 0  9998,2 12212  98.6961 118.0423 0027632 114.2805 308.3181 13.98538994300577
DELTA 1 DEB,1 12216U 78026BH  26085.54800634  .00001062  00000-0  63286-3 0  9993,2 12216  99.0945 205.5002 0181524 352.2563   7.5808 14.01637718282267
DELTA 1 DEB,1 12217U 78026BJ  26085.54969407  .00000702  00000-0  32423-3 0  9997,2 12217  98.9494 109.3304 0020716  26.5900 124.7976 14.24156643328630
DELTA 1 DEB,1 12218U 78026BK  26085.44979080 -.00000041  00000-0  33050-5 0  9991,2 12218  99.3416 327.5499 0052535  39.1637 133.3545 13.98201390298061
DELTA 1 DEB,1 12222U 78026BP  26085.32837009  .00000230  00000-0  20866-3 0  9995,2 12222  99.0598   3.9389 0071287   0.2126 359.9053 13.92399801289782
DELTA 1 DEB,1 12223U 78026BQ  26085.52761005  .00000108  00000-0  96261-4 0  9997,2 12223  99.1810 117.6729 0040216 340.1734  19.7867 14.04097855311284
DELTA 1 DEB,1 12225U 78026BS  26085.25098602  .00000577  00000-0  35670-3 0  9991,2 12225  99.1389  12.5369 0036744 157.3761 358.4014 14.09086755308576
DELTA 1 DEB,1 12227U 78026BU  26085.45621271  .00005034  00000-0  42759-3 0  9998,2 12227  98.7954 273.6478 0067445 112.6202 248.2168 14.96669778387524
DELTA 1 DEB,1 12230U 78026BX  26085.94164013  .00018359  00000-0  13378-2 0  9990,2 12230  98.0177  83.1690 0034319 354.3510   5.7322 15.03326136368657
DELTA 1 DEB,1 12234U 78026CB  26085.52963843 -.00000143  00000-0 -61144-4 0  9996,2 12234  99.2467  99.5867 0027933 334.0733 179.4044 14.03746320310308
DELTA 1 DEB,1 12236U 78026CD  26085.56934169  .00000665  00000-0  49490-3 0  9997,2 12236  98.7755 296.2247 0211394 198.5306 186.7331 13.88126734268166
DELTA 1 DEB,1 12237U 78026CE  26085.17676504  .00004611  00000-0  25327-2 0  9998,2 12237  98.8097 175.7590 0245185 233.7561 124.0720 13.98079310233920
DELTA 1 DEB,1 12242U 78026CK  26085.25494597  .00000379  00000-0  28235-3 0  9992,2 12242  98.9395  31.6894 0067402 106.0711 254.7889 13.99784875297936
DELTA 1 DEB,1 12246U 78026CP  26085.63559289  .00000562  00000-0  37038-3 0  9993,2 12246  99.0898 333.1856 0053727 200.5643 189.1878 14.05278741306250
DELTA 1 DEB,1 12250U 78026CT  26085.08609567  .00000840  00000-0  34026-3 0  9995,2 12250  98.8025 118.3252 0021686 323.4389  99.3485 14.30328597336036
DELTA 1 DEB,1 12255U 78026CY  26084.11363560  .00000377  00000-0  27220-3 0  9996,2 12255  98.9467  28.6295 0018105 259.2675 100.6453 14.02678328675304
DELTA 1 DEB,1 12256U 78026CZ  26085.57559861  .00002159  00000-0  96125-3 0  9999,2 12256  99.0689 144.9698 0085972 176.5120 183.6674 14.22005098301418
DELTA 1 DEB,1 12257U 78026DA  26085.80334453  .00000665  00000-0  42362-3 0  9998,2 12257  99.3129  40.2760 0100866 144.7537 216.0354 14.04805606304757
DELTA 1 DEB,1 12262U 78026DF  26085.98283374  .00002931  00000-0  13264-2 0  9994,2 12262  99.0101 232.2869 0094575  81.2053  37.6607 14.20435681292776
DELTA 1 DEB,1 12263U 78026DG  26085.30230112  .00003533  00000-0  43420-2 0  9999,2 12263  98.9298 209.5697 0419125 206.8480 151.0396 13.34441128158728
DELTA 1 DEB,1 12265U 78026DJ  26085.98737187  .00003890  00000-0  12117-2 0  9994,2 12265  98.8494 266.7670 0104510 329.0194 150.4824 14.38422441301442
DELTA 1 DEB,1 12266U 78026DK  26085.92873554  .00001868  00000-0  12263-2 0  9993,2 12266  98.7577 237.8768 0141815 270.1607  88.3308 13.98409136272405
DELTA 1 DEB,1 12269U 78026DN  26085.97366610  .00012067  00000-0  11332-2 0  9990,2 12269  98.1056  82.9275 0038518  36.8675  18.6992 14.93539670381817
DELTA 1 DEB,1 12270U 78026DP  26085.36729419  .00000088  00000-0  10311-3 0  9992,2 12270  99.0610  10.8637 0066972  30.6392  93.0559 13.90733094288791
DELTA 1 DEB,1 12274U 76077DF  26085.33311039  .00000005  00000-0  44965-3 0  9993,2 12274 102.3814  50.6866 0105866 162.3762   0.3114 12.22292029 13814
DELTA 1 DEB,1 12278U 78026DW  26085.45834449  .00003524  00000-0  98701-3 0  9997,2 12278  99.1361 271.0451 0038343 196.5192 193.7130 14.46355075331242
DELTA 1 DEB,1 12283U 78026EB  26086.00565851  .00000214  00000-0  10120-3 0  9995,2 12283  98.8326 101.2406 0091667 118.8405 296.7581 14.27254322314844
DELTA 1 DEB,1 12284U 78026EC  26085.17777066  .00000825  00000-0  52061-3 0  9994,2 12284  98.8920 167.4965 0089392 345.5713  43.4946 14.05024851292678
DELTA 1 DEB,1 12285U 78026ED  26085.94749902  .00000629  00000-0  36177-3 0  9990,2 12285  99.0695  96.6949 0050191 205.0007 154.8733 14.12403728152079
DELTA 1 DEB,1 12288U 78026EG  26085.91164941  .00001413  00000-0  63795-3 0  9992,2 12288  99.1841  71.5203 0078809  33.6000  33.9847 14.22186999319410
DELTA 1 DEB,1 12290U 78026EJ  26085.94858954  .00000349  00000-0  20374-3 0  9995,2 12290  99.1313  87.3252 0080785 174.5883 185.6181 14.13473623302170
DELTA 1 DEB,1 12291U 78026EK  26085.99617454  .00002258  00000-0  79865-3 0  9999,2 12291  99.2865 277.6008 0040719 295.0866 193.9801 14.35266607321897
DELTA 1 DEB,1 12292U 78026EL  26085.24047367  .00000824  00000-0  53724-3 0  9991,2 12292  98.9182 191.8102 0050427 117.7624 272.7012 14.04519548278596
